nohup: ignoring input

AUM — WELCOME-TO-THE-GOD

Atomic Chronos Modulator ACTIVE
ϕ⁻¹ threshold: 0.618033988750
Initial I_Tors: 0.618033988750

Chronos Stable | I_Tors = 3.59434504 ≥ 0.61803399
Chronos Stable | I_Tors = 175.95164269 ≥ 0.61803399
Chronos Stable | I_Tors = 177.93276606 ≥ 0.61803399
Chronos Stable | I_Tors = 179.91388502 ≥ 0.61803399
Chronos Stable | I_Tors = 181.89500576 ≥ 0.61803399
Chronos Stable | I_Tors = 183.87612787 ≥ 0.61803399
Chronos Stable | I_Tors = 185.85724913 ≥ 0.61803399
Chronos Stable | I_Tors = 187.83837025 ≥ 0.61803399
Chronos Stable | I_Tors = 189.81948901 ≥ 0.61803399
Chronos Stable | I_Tors = 191.80060988 ≥ 0.61803399
Chronos Stable | I_Tors = 193.78173075 ≥ 0.61803399
Chronos Stable | I_Tors = 195.76285345 ≥ 0.61803399
Chronos Stable | I_Tors = 197.74397412 ≥ 0.61803399
Chronos Stable | I_Tors = 199.72509929 ≥ 0.61803399
Chronos Stable | I_Tors = 201.70622471 ≥ 0.61803399
Chronos Stable | I_Tors = 203.68734698 ≥ 0.61803399
Chronos Stable | I_Tors = 205.66846081 ≥ 0.61803399
Chronos Stable | I_Tors = 207.64957631 ≥ 0.61803399
Chronos Stable | I_Tors = 209.63069842 ≥ 0.61803399
Chronos Stable | I_Tors = 211.61181829 ≥ 0.61803399
Chronos Stable | I_Tors = 213.59293773 ≥ 0.61803399
Chronos Stable | I_Tors = 215.57406050 ≥ 0.61803399
Chronos Stable | I_Tors = 217.55517896 ≥ 0.61803399
Chronos Stable | I_Tors = 219.53629982 ≥ 0.61803399
Chronos Stable | I_Tors = 221.51742541 ≥ 0.61803399
Chronos Stable | I_Tors = 223.49853801 ≥ 0.61803399
Chronos Stable | I_Tors = 225.47965189 ≥ 0.61803399
Chronos Stable | I_Tors = 227.46076306 ≥ 0.61803399
Chronos Stable | I_Tors = 229.44187731 ≥ 0.61803399
Chronos Stable | I_Tors = 231.42298930 ≥ 0.61803399
Chronos Stable | I_Tors = 233.40410397 ≥ 0.61803399
Chronos Stable | I_Tors = 235.38522230 ≥ 0.61803399
Chronos Stable | I_Tors = 237.36634774 ≥ 0.61803399
Chronos Stable | I_Tors = 239.34747016 ≥ 0.61803399
Chronos Stable | I_Tors = 241.32859150 ≥ 0.61803399
Chronos Stable | I_Tors = 243.30971122 ≥ 0.61803399
Chronos Stable | I_Tors = 245.29082933 ≥ 0.61803399
Chronos Stable | I_Tors = 247.27195358 ≥ 0.61803399
Chronos Stable | I_Tors = 249.25307265 ≥ 0.61803399
Chronos Stable | I_Tors = 251.23418924 ≥ 0.61803399
Chronos Stable | I_Tors = 253.21530260 ≥ 0.61803399
Chronos Stable | I_Tors = 255.19641572 ≥ 0.61803399
Chronos Stable | I_Tors = 257.17753025 ≥ 0.61803399
Chronos Stable | I_Tors = 259.15864453 ≥ 0.61803399
Chronos Stable | I_Tors = 261.13976774 ≥ 0.61803399
Chronos Stable | I_Tors = 263.12089311 ≥ 0.61803399
Chronos Stable | I_Tors = 265.10201798 ≥ 0.61803399
Chronos Stable | I_Tors = 267.08313848 ≥ 0.61803399
Chronos Stable | I_Tors = 269.06425973 ≥ 0.61803399
Chronos Stable | I_Tors = 271.04537964 ≥ 0.61803399
Chronos Stable | I_Tors = 273.02649450 ≥ 0.61803399
Chronos Stable | I_Tors = 275.00761339 ≥ 0.61803399
Chronos Stable | I_Tors = 276.98873305 ≥ 0.61803399
Chronos Stable | I_Tors = 278.96985164 ≥ 0.61803399
Chronos Stable | I_Tors = 280.95097476 ≥ 0.61803399
Chronos Stable | I_Tors = 282.93209092 ≥ 0.61803399
Chronos Stable | I_Tors = 284.91321373 ≥ 0.61803399
Chronos Stable | I_Tors = 286.89433764 ≥ 0.61803399
Chronos Stable | I_Tors = 288.87545667 ≥ 0.61803399
Chronos Stable | I_Tors = 290.85658041 ≥ 0.61803399
Chronos Stable | I_Tors = 292.83770227 ≥ 0.61803399
Chronos Stable | I_Tors = 294.81882571 ≥ 0.61803399
Chronos Stable | I_Tors = 296.79994470 ≥ 0.61803399
Chronos Stable | I_Tors = 298.78106512 ≥ 0.61803399
Chronos Stable | I_Tors = 300.76218647 ≥ 0.61803399
